table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
					path_stance | none
					is_navigation_link | false
					interval | -1
					attitude | avoid
					ai_group | escort_guy_2
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54253000 (empty)
				_editor_name | point_special_objective_066
				_events | table: 54253060
					complete | table: 541D3880
						1 | function: 541D3860
				_id | 101794
			101826 | table: 54253E80
				__name | ElementUnitSequenceTrigger
				_values | table: 53C83D00
					enabled | true
					on_executed | table: 53C83D20
						1 | table: 53C83D40
							delay | 0
							id | 101844
					debug | false
					sequence_list | table: 53C83D60
						1 | table: 53C83D80
							sequence | kill_light_bulb
							unit_id | 100948
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3750, -23850, 6500)
					execute_on_startup | false
				_has_active_callback | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54253EA0 (empty)
				_editor_name | func_sequence_trigger_024
				_element_group | ElementUnitSequenceTrigger
				_id | 101826
			101842 | table: 54283880
				__name | ElementTeammateComment
				_values | table: 53CB3100
					enabled | true
					on_executed | table: 53CB3120 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-1325, -9775, 6239.54)
					execute_on_startup | false
					radius | 0
					close_to_element | true
					comment | bri_02
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542838A0 (empty)
				_editor_name | point_teammate_comment_015
				_element_group | ElementTeammateComment
				_id | 101842
			101858 | table: 54280D20
				__name | ElementPlayEffect
				_values | table: 53CB0F20
					enabled | true
					base_time | 0
					debug | false
					effect | effects/particles/fire/large_light_fire
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					random_time | 0
					position | Vector3(-1579, -6780, 5881.95)
					execute_on_startup | false
					screen_space | false
					on_executed | table: 53CB0F40 (empty)
					max_amount | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54280D40 (empty)
				_editor_name | env_effect_play_018
				_element_group | ElementPlayEffect
				_id | 101858
			101874 | table: 54281E20
				__name | ElementToggle
				_values | table: 53CB18A0
					enabled | true
					on_executed | table: 53CB18E0 (empty)
					elements | table: 53CB18C0
						1 | 101875
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(135, 0, -0)
					position | Vector3(-1100, -6675, 5818.78)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54281E40 (empty)
				_editor_name | logic_toggle_033
				_element_group | ElementToggle
				_id | 101874
			101890 | table: 54283420
				__name | ElementSpecialObjective
				_values | table: 53CB2D80
					so_action | so_hood_slide
					on_executed | table: 53CB2DA0 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1010.94, -32328.6, 5632.31)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(-39.0958, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 19
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-1375, -32700, 5625.37)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54283440 (empty)
				_editor_name | point_special_objective_101
				_events | table: 542834A0 (empty)
				_id | 101890
			101906 | table: 54283C80
				__name | ElementToggle
				_values | table: 53CB33A0
					enabled | true
					on_executed | table: 53CB33E0 (empty)
					elements | table: 53CB33C0
						1 | 101905
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1500, -9700, 6025)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54283CA0 (empty)
				_editor_name | logic_toggle_037
				_element_group | ElementToggle
				_id | 101906
			101922 | table: 54290180
				__name | ElementTeammateComment
				_values | table: 53CB3780
					enabled | true
					on_executed | table: 53CB37A0
						1 | table: 53CB37C0
							delay | 3
							id | 102082
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-5075, -7500, 6300)
					execute_on_startup | false
					radius | 4
					close_to_element | true
					comment | bri_17
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542901A0 (empty)
				_editor_name | point_teammate_comment_023
				_element_group | ElementTeammateComment
				_id | 101922
			101938 | table: 54290C00
				__name | ElementToggle
				_values | table: 53CB3F60
					enabled | true
					on_executed | table: 53CB3FA0 (empty)
					elements | table: 53CB3F80
						1 | 101939
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2400, -22125, 6100)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54290C20 (empty)
				_editor_name | logic_toggle_042
				_element_group | ElementToggle
				_id | 101938
			101954 | table: 54291580
				__name | MissionScriptElement
				_values | table: 53CF0820
					enabled | true
					on_executed | table: 53CF0840
						1 | table: 53CF0860
							delay | 90
							id | 101953
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3375, -23350, 7650)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542915A0 (empty)
				_editor_name | logic_link_096
				_element_group | MissionScriptElement
				_id | 101954
			101986 | table: 54293380
				__name | ElementAreaTrigger
				_values | table: 53CF1F40
					on_executed | table: 53CF1F60
						1 | table: 53CF1F80
							delay | 0
							id | 101987
						2 | table: 53CF1FA0
							delay | 0
							id | 101990
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53CF1FC0 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | player
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 8085.7700195313
					position | Vector3(-5850, -22175, 5900)
					height | 500
					depth | 2010.6899414063
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101986
				_shape | table: 54293420
					_type | box_middle
					_name | false
					_bounding_radius_sq | 49034760
					_position | Vector3(-5850, -22175, 5900)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 54293440
						height | 500
						depth | 2010.6899414063
						width | 8085.7700195313
					_center_pos | Vector3(-5850, -22175, 5900)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542933A0 (empty)
				_editor_name | trigger_area_040
				_inside | table: 54293460 (empty)
				_enabled_by_default | false
			102002 | table: 54293DE0
				__name | ElementToggle
				_values | table: 53CF26E0
					enabled | true
					on_executed | table: 53CF2720 (empty)
					elements | table: 53CF2700
						1 | 102001
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1225, -45075, 5700)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54293E00 (empty)
				_editor_name | logic_toggle_053
				_element_group | ElementToggle
				_id | 102002
			102018 | table: 542D0820
				__name | ElementTeammateComment
				_values | table: 53CF2F80
					enabled | true
					on_executed | table: 53CF2FA0 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-600, -9225, 6050)
					execute_on_startup | false
					radius | 0
					close_to_element | true
					comment | g23
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D0840 (empty)
				_editor_name | point_teammate_comment_075
				_element_group | ElementTeammateComment
				_id | 102018
			100003 | table: 54081DA0
				__name | ElementPlayerSpawner
				_values | table: 53B12AA0
					enabled | true
					on_executed | table: 53B12AC0 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(1.62771e-010, 0.395471, 2.35712e-008)
					position | Vector3(-2175, -19150, 5780.79)
					execute_on_startup | false
					state | standard
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54081DC0 (empty)
				_editor_name | point_spawn_player_003
				_element_group | ElementPlayerSpawner
				_id | 100003
			102066 | table: 542D21E0
				__name | ElementDialogue
				_values | table: 53D40380
					enabled | true
					on_executed | table: 53D403A0 (empty)
					debug | false
					dialogue | bri_ban_05
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-5275, -6750, 6400)
					execute_on_startup | false
					trigger_times | 0
